target_taxonomy_id,parent_taxonomy_id,target_protein_uniprot_id,target_protein_name,target_protein_length,target_organism,support_pdb_id,support_pdb_chain_description,identity_pct,alignment_score
10244,10240,V9NWM3,A28L,519,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),99.73,365.0
10244,10240,M1LBP0,Entry-fusion complex associated protein OPG095,250,Monkeypox virus,2I9L;4U6H;8ZU9;8ZUA,"2I9L_3|Chains I, J, K, L|Virion membrane protein M25|Vaccinia virus (10245);4U6H_3|Chains E, F[auth J]|Protein L1|Vaccinia virus (10254);8ZU9_3|Chain C[auth E]|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244);8ZUA_2|Chains B[auth C], E[auth F], H, K|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244)",99.45,182.0
10244,10240,A0A7G8C3S5,A-type inclusion protein,517,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),99.45,364.0
10244,10240,A0A7G8C5C7,Cowpox A-type inclusion protein,517,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),99.45,364.0
10244,10240,E2FLD4,Myristylprotein,250,Monkeypox virus,2I9L;4U6H;8ZU9;8ZUA,"2I9L_3|Chains I, J, K, L|Virion membrane protein M25|Vaccinia virus (10245);4U6H_3|Chains E, F[auth J]|Protein L1|Vaccinia virus (10254);8ZU9_3|Chain C[auth E]|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244);8ZUA_2|Chains B[auth C], E[auth F], H, K|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244)",99.45,182.0
10244,10240,Q3I974,Cowpox A-type inclusion protein,519,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),99.45,364.0
10244,10240,Q5IXU5,IMV membrane protein,250,Monkeypox virus,2I9L;4U6H;8ZU9;8ZUA,"2I9L_3|Chains I, J, K, L|Virion membrane protein M25|Vaccinia virus (10245);4U6H_3|Chains E, F[auth J]|Protein L1|Vaccinia virus (10254);8ZU9_3|Chain C[auth E]|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244);8ZUA_2|Chains B[auth C], E[auth F], H, K|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244)",99.45,182.0
10244,10240,Q80KX3,M1R,250,Monkeypox virus,2I9L;4U6H;8ZU9;8ZUA,"2I9L_3|Chains I, J, K, L|Virion membrane protein M25|Vaccinia virus (10245);4U6H_3|Chains E, F[auth J]|Protein L1|Vaccinia virus (10254);8ZU9_3|Chain C[auth E]|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244);8ZUA_2|Chains B[auth C], E[auth F], H, K|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244)",99.45,182.0
619591,10240,Q8V502,M1R,250,Monkeypox virus (strain Zaire-96-I-16),2I9L;4U6H;8ZU9;8ZUA,"2I9L_3|Chains I, J, K, L|Virion membrane protein M25|Vaccinia virus (10245);4U6H_3|Chains E, F[auth J]|Protein L1|Vaccinia virus (10254);8ZU9_3|Chain C[auth E]|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244);8ZUA_2|Chains B[auth C], E[auth F], H, K|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244)",99.45,182.0
10244,10240,Q3I825,Cowpox A-type inclusion protein,503,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),99.18,362.0
10244,10240,A0A7H0DNC4,Envelop protein OPG153,509,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),98.91,362.0
10244,10240,A0A650BUA0,MPXVgp138,509,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),98.91,362.0
10244,10240,A0A7H0DLT1,Cowpox A-type inclusion protein,509,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),98.91,362.0
10244,10240,Q3I7H6,Cowpox A-type inclusion protein,511,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),98.91,362.0
10244,10240,A0A0F6N733,Myristylprotein,250,Monkeypox virus,2I9L;4U6H;8ZU9;8ZUA,"2I9L_3|Chains I, J, K, L|Virion membrane protein M25|Vaccinia virus (10245);4U6H_3|Chains E, F[auth J]|Protein L1|Vaccinia virus (10254);8ZU9_3|Chain C[auth E]|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244);8ZUA_2|Chains B[auth C], E[auth F], H, K|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244)",98.9,181.0
10244,10240,Q90197,Cell surface-binding protein OPG105,304,Monkeypox virus,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",95.0,247.0
10244,10240,A0A7H0DN92,Cell surface-binding protein OPG105,304,Monkeypox virus,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",94.62,246.0
10244,10240,A0A0F6N859,Cell surface-binding protein OPG105,304,Monkeypox virus,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",94.62,246.0
10244,10240,Q5IXS0,Cell surface-binding protein OPG105,304,Monkeypox virus,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",94.62,246.0
10244,10240,A0A2L0AQY3,Cell surface-binding protein OPG105,304,Monkeypox virus,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",94.59,245.0
619591,10240,Q8V4Y0,Cell surface-binding protein OPG105,304,Monkeypox virus (strain Zaire-96-I-16),4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",94.23,245.0
10244,10240,A0A7G8C251,Cell surface-binding protein OPG105,304,Monkeypox virus,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",94.23,245.0
10244,10240,E2FLF9,Cell surface-binding protein OPG105,304,Monkeypox virus,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",94.23,245.0
10244,10240,Q3I8Q9,Cell surface-binding protein OPG105,304,Monkeypox virus,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",94.23,245.0
10244,10240,F1DJF8,Cell surface-binding protein OPG105,304,Monkeypox virus,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",93.85,244.0
10244,10240,Q3I9B0,Cell surface-binding protein OPG105,304,Monkeypox virus,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",93.85,244.0
10244,10240,A0A0F6N6S2,Cowpox A-type inclusion protein,512,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),93.61,366.0
10244,10240,A0A0F6NA24,Cowpox A-type inclusion protein,504,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),93.61,366.0
10244,10240,M1L4A3,Truncted cowpox A-type inclusion protein,508,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),93.61,366.0
10244,10240,A0A0F6N8X9,Cowpox A-type inclusion protein,512,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),93.09,364.0
10244,10240,A0A0F6N8N1,Cowpox A-type inclusion protein,512,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),92.84,363.0
10244,10240,Q5IXN8,MPXV-WRAIR131,499,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),92.84,363.0
10244,10240,A0A0F6N6R6,Cowpox A-type inclusion protein,515,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),92.66,366.0
10244,10240,A0A7G8C2Q4,Cowpox A-type inclusion protein,515,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),92.66,366.0
10244,10240,Q3T611,MPXV-COP-131,499,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),92.58,362.0
10244,10240,A0A0F6NA74,Cowpox A-type inclusion protein,500,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),89.32,368.0
619591,10240,Q8V4V0,A28L,520,Monkeypox virus (strain Zaire-96-I-16),9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),89.08,367.0
10244,10240,V9NR63,A28L,520,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),88.83,366.0
10244,10240,A0A7G8C390,Cowpox A-type inclusion protein,521,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),88.65,367.0
10244,10240,A0A0F7G921,A-type inclusion protein,518,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),88.59,365.0
10244,10240,A0A7G8C6Z0,A-type inclusion protein,520,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),88.59,365.0
10244,10240,F1DIZ8,Cowpox A-type inclusion protein,520,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),88.59,365.0
10244,10240,V9NSD8,A28L,520,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),88.59,365.0
10244,10240,A0A7G8C5W8,Cowpox A-type inclusion protein,521,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),88.41,366.0
10244,10240,A0A0F6N7R3,Cowpox A-type inclusion protein,510,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),88.35,364.0
10244,10240,F1DJJ4,Cowpox A-type inclusion protein,520,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),88.35,364.0
10244,10240,Q3T6X6,MPXV-SL-131,506,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),88.19,366.0
10244,10240,A0A0F7GAP0,A-type inclusion protein,502,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),87.98,366.0
10244,10240,Q3I8M3,Cowpox A-type inclusion protein,516,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),87.98,366.0
10244,10240,V9NKU4,A28L,516,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),87.74,365.0
10244,10240,A0A0F6N8D3,Cowpox A-type inclusion protein,507,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),87.47,363.0
